word,zipf_frequency
abdom,0.0000
abend,2.0500
abets,1.6200
abhor,2.6400
abide,3.5900
abies,2.2300
abyes,0.0000
abilo,0.0000
abime,0.0000
abysm,0.0000
abled,2.2900
abler,1.2900
ables,1.7300
ablet,0.0000
ablow,1.5600
abmho,0.0000
abner,2.8400
abnet,0.0000
abode,3.1300
abody,0.0000
abohm,0.0000
aboil,0.0000
abord,1.5000
abort,3.2700
abote,0.0000
about,6.4000
above,5.2000
abret,0.0000
abrim,0.0000
abrin,1.1200
abris,0.0000
abrus,0.0000
absey,0.0000
absit,0.0000
abstr,0.0000
abune,1.1800
abuse,4.6600
abush,0.0000
abuts,2.2700
acedy,0.0000
acerb,0.0000
ached,2.4100
achen,1.2300
acher,1.6200
aches,3.2800
achor,1.5300
acidy,0.0000
acids,3.8500
acier,1.3500
acies,0.0000
acyls,0.0000
acing,2.0200
ackey,0.0000
acker,2.4800
aclys,0.0000
acmes,0.0000
acned,0.0000
acnes,1.6600
acoin,0.0000
acold,0.0000
acone,0.0000
acorn,3.0800
acost,0.0000
acoup,0.0000
acred,0.0000
acres,4.1700
acrid,2.3700
acryl,1.2400
acron,1.3100
acrux,1.0600
acted,4.2800
actin,3.1400
acton,2.9700
actor,4.6500
actos,1.9400
actus,1.9700
acute,4.0000
adcon,0.0000
adeps,0.0000
adept,3.3300
adfix,0.0000
adiel,1.1900
adieu,2.8300
adion,0.0000
adios,2.6800
adits,1.4000
adlet,0.0000
admen,1.1100
admin,3.9200
admit,4.5800
admix,0.0000
admov,0.0000
admrx,0.0000
adnex,0.0000
adobe,3.5300
adolf,3.3700
adopt,4.1900
adore,3.7000
adorn,3.0100
adown,1.5900
adoxy,0.0000
adoze,0.0000
adret,0.0000
adrip,0.0000
adrop,0.0000
adrue,0.0000
adsum,0.0000
adult,4.8000
adunc,0.0000
adure,0.0000
adusk,0.0000
adust,0.0000
adzer,0.0000
adzes,1.4600
aegir,1.5600
aegis,3.0600
aeons,2.2400
aequi,0.0000
aeric,0.0000
aeron,2.0700
aesir,1.7700
aesop,2.5300
aevum,0.0000
afgod,0.0000
afire,2.4600
afley,0.0000
aflow,0.0000
afore,2.4200
afoul,2.6300
afret,0.0000
afric,1.7700
afrit,0.0000
afros,1.7900
after,6.1100
agend,0.0000
agent,4.8100
agers,2.2100
agiel,0.0000
agile,3.4100
agios,1.9900
agism,0.0000
agist,0.0000
agley,0.0000
aglet,1.3200
aglow,2.2100
agnel,1.2800
agnes,3.5700
agnus,2.0100
agone,1.5600
agony,3.6000
agons,0.0000
agric,2.1200
agrin,1.1400
agrom,0.0000
agron,2.3500
aguey,0.0000
agues,0.0000
agush,0.0000
agust,1.5900
ahems,0.0000
ahind,0.0000
ahint,0.0000
ahmed,3.8300
ahmet,2.8500
ahold,2.8600
aholt,0.0000
ahong,0.0000
ahunt,0.0000
aider,1.9400
aides,3.4100
ayelp,0.0000
ayens,0.0000
aiery,0.0000
aiger,0.0000
aigre,0.0000
ayins,0.0000
ailed,1.6400
aylet,0.0000
aimed,4.2500
aimer,2.0600
ainus,0.0000
ayond,0.0000
ayont,0.0000
ayous,0.0000
aired,3.8500
airns,0.0000
airth,1.3600
airts,0.0000
aisle,3.7200
aitch,1.6400
aiver,0.0000
aizle,0.0000
akebi,0.0000
aking,1.9500
aknow,0.0000
akron,3.3500
akule,0.0000
akund,0.0000
albin,2.3900
albyn,1.3700
album,5.0200
albus,2.6100
alces,1.4500
alcid,0.0000
alcor,1.5000
alden,3.1700
alder,2.9700
aldim,0.0000
aldus,2.1300
aleck,2.1700
alecs,1.1500
alefs,0.0000
aleft,0.0000
alenu,0.0000
aleph,2.3900
alert,4.3300
aleut,1.9600
alfet,0.0000
alfin,1.1100
alfur,0.0000
algic,1.0200
algid,0.0000
algin,0.0000
algor,1.1200
algum,0.0000
alhet,0.0000
alice,4.2600
alick,1.8700
alids,0.0000
alien,4.2900
aliet,0.0000
alife,1.5900
alifs,0.0000
align,3.6300
alike,4.1300
aline,2.5800
alish,0.0000
aliso,2.0200
alisp,0.0000
alist,1.5200
alite,1.3200
ality,1.2600
alive,4.7600
alkes,0.0000
alkyd,1.7700
alkin,0.0000
almeh,0.0000
almes,0.0000
almon,1.8100
almud,0.0000
almug,0.0000
alnus,1.8100
alody,0.0000
aloed,0.0000
aloes,1.9000
aloft,3.0800
alogy,0.0000
aloid,0.0000
aloin,0.0000
alois,2.2600
alone,5.1600
along,5.3800
alose,0.0000
aloud,3.5100
alout,0.0000
alowe,0.0000
alpen,1.6900
alpid,0.0000
alter,4.0500
altho,2.6500
altin,1.3000
altos,2.5400
altun,1.1900
altus,2.1400
aluco,0.0000
alums,2.4200
alure,0.0000
alvin,3.4000
alvus,0.0000
amber,3.9700
ambit,2.4500
amble,2.3000
ambon,1.8600
ambos,1.9000
ambry,1.1300
amelu,0.0000
amend,3.5500
amens,1.3300
ament,1.7900
amice,1.5000
amide,2.4400
amido,1.7700
amids,0.0000
amies,1.7500
amigo,2.8600
amylo,0.0000
amyls,0.0000
amine,2.7900
amino,3.7200
amins,0.0000
amire,0.0000
amirs,1.5800
amish,3.2700
amity,2.8900
amlet,0.0000
amnic,0.0000
amoke,0.0000
amoks,0.0000
amole,1.1900
among,5.3100
amort,0.0000
amour,3.0300
amove,0.0000
amowt,0.0000
amper,1.3400
amphi,1.5300
ampyx,0.0000
ample,3.7100
amply,2.6100
ampul,0.0000
amrit,2.1700
amsel,1.3300
amuck,2.0500
amuse,3.1200
amuze,0.0000
amvis,0.0000
amzel,0.0000
ancle,0.0000
ancor,1.2900
ancre,1.4700
andes,3.1400
andor,2.3600
andre,3.8500
angel,4.4500
anger,4.4200
angie,3.3500
angle,4.3800
anglo,3.8100
angor,1.2600
angry,4.6600
angst,3.2600
angus,3.6300
anhyd,0.0000
anice,1.4700
anigh,0.0000
anile,1.0900
anils,0.0000
anime,4.2600
animo,2.1200
anise,2.6500
anjou,2.5700
anker,2.5400
ankhs,0.0000
ankle,3.9700
ankou,0.0000
ankus,0.0000
anlet,0.0000
anode,2.8600
anoil,0.0000
anole,1.5500
anoli,0.0000
anomy,0.0000
anour,0.0000
anous,0.0000
ansel,2.8100
anser,1.7800
anted,1.5300
antes,2.1500
antic,2.3300
antiq,1.3500
antis,2.2700
antre,0.0000
antsy,2.5200
antum,0.0000
anury,0.0000
anvil,3.0400
aoife,2.1500
aotes,0.0000
aotus,1.0100
apery,0.0000
apers,0.0000
apert,1.2600
aperu,0.0000
aphid,2.3900
aphis,2.2100
aping,2.0900
apiol,0.0000
apios,0.0000
apish,1.1300
apism,0.0000
apium,1.3100
apods,0.0000
aport,1.1600
apout,0.0000
apres,2.0700
april,5.1900
apron,3.3600
apsid,0.0000
apter,1.7900
aptly,3.1200
arced,1.9100
arces,0.0000
archd,0.0000
arche,2.0200
archy,2.1600
archt,0.0000
arcos,2.0700
arcus,1.8700
ardeb,0.0000
arefy,0.0000
areic,0.0000
arend,1.8200
areng,0.0000
arent,3.5200
arest,1.1000
argel,1.2200
argid,0.0000
argil,0.0000
argin,0.0000
argle,0.0000
argol,1.0100
argon,2.8600
argos,3.0400
argot,1.9400
argue,4.4600
argus,3.0500
ariel,3.5400
aries,3.1300
arils,1.2300
aryls,0.0000
arion,2.1400
ariot,0.0000
arise,3.9300
arish,2.0400
arist,1.4100
arite,0.0000
arith,0.0000
arius,2.2100
arjun,3.0300
arkie,1.2300
arles,2.4600
armed,4.5900
armet,0.0000
armil,0.0000
armit,1.1900
arneb,0.0000
arnut,0.0000
arock,0.0000
aroid,1.2100
aroph,0.0000
arose,3.7300
arpen,0.0000
arsyl,0.0000
arsle,0.0000
arson,3.4000
artel,1.4000
artic,2.4200
artie,3.1400
artly,0.0000
artou,0.0000
artsy,2.8900
artus,1.6900
aruke,0.0000
arulo,0.0000
arums,0.0000
arvel,1.0300
arvos,0.0000
arzun,0.0000
ascon,1.0700
ascot,3.0600
ascry,0.0000
asdic,1.2600
asgmt,0.0000
ashed,1.4800
ashen,2.4800
asher,3.1800
ashet,0.0000
ashir,0.0000
ashot,1.2600
ashur,2.1400
aside,4.5900
asyle,0.0000
async,2.2500
asked,5.3000
asker,2.0800
askew,2.7200
askip,0.0000
askoi,0.0000
aslop,0.0000
aspen,3.4300
asper,1.8800
aspic,2.0900
astel,0.0000
aster,2.8100
astir,1.6000
astor,2.9400
astre,1.0100
astur,0.0000
asuri,0.0000
aswim,0.0000
ately,0.0000
atelo,0.0000
athel,1.1200
atimy,0.0000
ating,1.8800
atmid,0.0000
atmos,2.6400
atoke,0.0000
atole,1.1300
atomy,1.1000
atoms,3.7500
atone,2.8600
atony,1.0600
atopy,1.5700
atour,0.0000
atren,0.0000
atrip,0.0000
atule,0.0000
atune,0.0000
atwin,0.0000
aubin,2.1700
aucht,0.0000
audio,4.4700
audit,4.0400
aueto,0.0000
augen,1.8400
auger,2.7700
auget,0.0000
aught,2.4300
aulic,1.1500
auloi,0.0000
aulos,1.0800
aumil,0.0000
aunty,3.1600
aunts,3.2100
aurei,0.0000
aures,1.3400
auric,2.0700
auryl,0.0000
aurin,1.1900
auris,1.8200
autem,1.6500
autor,2.0700
autos,3.1200
autre,2.3300
auxil,0.0000
auxin,2.1800
aveny,0.0000
avens,1.3200
avery,3.6000
avern,0.0000
avers,1.8700
avert,3.1400
avick,0.0000
aview,0.0000
avile,0.0000
avine,0.0000
avion,1.9300
aviso,1.4700
avoid,4.8700
avoir,2.0700
avoke,0.0000
avoue,0.0000
avour,0.0000
avowe,0.0000
avows,1.1800
awber,0.0000
awest,0.0000
aweto,0.0000
awful,4.4600
awhet,0.0000
awhir,0.0000
awide,0.0000
awing,1.3700
awink,0.0000
awkly,0.0000
awned,0.0000
awner,0.0000
awoke,3.1500
awols,0.0000
awork,0.0000
axels,1.6700
axers,0.0000
axile,0.0000
axils,2.0800
axine,0.0000
axing,2.2000
axiom,3.0200
axion,1.9300
axite,0.0000
axled,0.0000
axles,2.9800
axmen,0.0000
axoid,0.0000
axone,0.0000
axons,2.5900
azide,2.0600
azido,1.2400
azyme,0.0000
azine,0.0000
azlon,0.0000
azoch,0.0000
azofy,0.0000
azoic,1.0700
azole,1.3600
azons,0.0000
azote,1.1900
azoth,1.2900
azoxy,0.0000
aztec,3.1000
azure,3.3500
azury,0.0000
bache,2.2800
bacin,0.0000
bacis,0.0000
backy,1.3400
backs,4.1000
bacon,4.1500
badge,4.0200
badju,0.0000
badly,4.4400
badon,1.5600
bagdi,0.0000
bagel,3.1800
bagie,0.0000
bagio,0.0000
bagle,0.0000
bagne,0.0000
bagre,0.0000
bahoe,0.0000
bahts,1.1700
bahur,0.0000
bahut,1.5600
bayed,1.6000
baign,0.0000
baile,2.1800
bailo,1.4800
bails,2.5600
baioc,0.0000
bayok,0.0000
bayou,3.1400
bairn,2.0400
baith,1.3400
baits,2.6500
baize,1.8300
bajri,0.0000
baked,3.9200
baken,1.1200
baker,4.2300
bakes,2.7300
bakie,0.0000
bakli,0.0000
baldy,2.5800
balds,1.3100
baled,1.7900
balei,0.0000
baler,2.2600
bales,2.9700
balky,1.5700
balks,2.0900
balmy,2.7000
balms,2.2400
balon,2.1100
balor,2.3800
balow,0.0000
balti,2.1000
balun,1.5900
balut,1.8200
banco,3.0300
bande,2.2400
bandh,2.0100
bandi,1.8700
bandy,2.5500
bando,2.2100
bands,4.3700
baned,0.0000
banes,2.1200
bange,1.3200
bangy,0.0000
bangs,3.4500
banig,0.0000
banjo,3.2700
banky,2.0100
banks,4.6900
banty,1.2700
bantu,3.0300
banus,1.4000
barde,1.4400
bardy,1.3000
bardo,2.3200
bards,2.7000
bared,2.6400
bares,2.5000
baret,1.4700
barfy,1.0900
barfs,1.5800
barge,3.5000
bargh,1.6500
baric,1.3300
barid,0.0000
barie,0.0000
barye,1.2200
barih,0.0000
baris,2.0000
barit,0.0000
barky,1.5900
barks,3.0100
barly,1.3100
barmy,2.3200
barms,0.0000
barny,1.6900
barns,3.1400
baroi,0.0000
baron,3.8800
barse,1.2700
barth,2.8700
based,5.5100
baser,2.1400
basic,4.8900
basil,3.6500
basyl,0.0000
basin,4.0800
baske,0.0000
bason,1.6200
baste,2.3900
basti,2.2900
basto,1.4000
batch,3.9100
bated,2.3300
batel,0.0000
bater,1.4400
bates,3.6400
bathe,3.2200
baths,3.6700
batik,2.5400
batis,1.5400
baton,3.6400
bauch,1.4400
bauds,0.0000
bauge,0.0000
bauld,1.1900
baulk,2.1000
baume,2.0800
bauno,0.0000
baure,0.0000
bavin,1.1700
bawdy,2.5600
bawds,1.1300
bawke,0.0000
bawly,0.0000
bawls,1.6400
bawty,0.0000
beach,4.9200
beady,2.4800
beads,3.6900
beaky,1.7900
beaks,2.7400
beamy,1.2200
beams,3.7600
beany,1.7600
beano,2.3100
beans,4.1400
beant,1.0100
beard,4.0700
bearm,0.0000
bears,4.3400
beast,4.2900
beath,1.6500
beati,1.6000
beats,4.2200
beaus,1.7300
beaut,2.5600
beaux,2.7300
becap,0.0000
becky,3.6300
becks,2.4600
becry,0.0000
becut,0.0000
beday,0.0000
bedim,0.0000
bedin,0.0000
bedip,0.0000
bedog,0.0000
bedot,0.0000
bedur,0.0000
befan,0.0000
befit,2.0700
befog,0.0000
befop,0.0000
befur,0.0000
begad,0.0000
begay,1.6800
began,5.0700
begar,0.0000
begat,2.4100
begin,4.8400
begod,0.0000
begot,1.9700
begum,2.5600
begun,4.3600
begut,0.0000
behap,0.0000
behav,1.8000
beigy,0.0000
beild,0.0000
being,5.9500
beira,2.2200
beisa,0.0000
bejan,1.5600
bejig,0.0000
bekah,1.8800
belah,1.0300
belay,2.4300
belam,0.0000
belap,0.0000
belar,1.1400
belat,0.0000
belch,2.2700
belga,1.2900
belis,0.0000
below,5.0500
belts,3.7400
bemad,0.0000
beman,1.4900
bemar,0.0000
bemas,0.0000
bemat,0.0000
bemix,0.0000
bemol,0.0000
bemud,0.0000
bench,4.3900
benda,2.1600
bendy,2.5500
bends,3.3400
benic,0.0000
benim,1.1900
benjy,2.4400
bensh,0.0000
benty,0.0000
bents,1.7100
benzo,2.3700
bepat,0.0000
bepaw,0.0000
bepun,0.0000
beray,0.0000
berat,1.9200
bergh,2.1400
bergy,1.6900
bergs,1.8500
beryl,2.9100
beryx,0.0000
berms,2.0300
berth,3.4400
berun,0.0000
besan,1.4400
besin,0.0000
besit,0.0000
besom,1.5000
besot,0.0000
bespy,0.0000
besra,0.0000
betag,0.0000
betas,2.4800
beths,1.2700
betis,2.5300
beton,1.8100
betsy,3.4200
betso,0.0000
bevil,1.4900
bevor,1.2100
bewig,0.0000
bewit,0.0000
bewry,0.0000
bezan,0.0000
bezil,0.0000
bhalu,0.0000
bhang,1.7700
bhima,2.0000
bhuts,0.0000
bialy,1.4000
byard,1.9600
bicep,2.7200
bices,0.0000
bichy,0.0000
bidar,1.6300
bider,0.0000
bides,1.6500
bidet,2.5800
bidry,0.0000
bield,1.1100
biens,1.2900
biers,1.4100
bifer,0.0000
bigae,0.0000
bigam,0.0000
bigas,1.0700
bigha,1.3200
bight,2.6700
bigly,2.3700
bigot,3.1800
biham,0.0000
bijou,2.4900
biked,2.3100
biker,3.3700
bikes,3.8900
bikol,0.0000
bylaw,2.6000
bilch,0.0000
biles,2.3200
bilge,2.6700
bilgy,0.0000
bilks,0.0000
bilos,0.0000
bilsh,0.0000
bimah,1.1200
bimas,0.0000
binal,0.0000
binds,3.3800
bines,1.6900
binge,3.6000
bingy,0.0000
bingo,3.7100
bints,0.0000
biome,2.7300
biont,0.0000
biose,0.0000
biota,2.4900
byous,0.0000
biped,2.0100
bipod,2.0700
birch,3.5000
birde,0.0000
birdy,2.6000
birds,4.6000
byres,1.8100
birky,0.0000
birks,2.2700
birle,0.0000
birls,0.0000
byrls,0.0000
birma,0.0000
birne,0.0000
birny,0.0000
biron,2.0600
byron,3.6800
birse,1.1600
birsy,0.0000
birth,4.7700
bysen,0.0000
biset,0.0000
bisme,0.0000
bison,3.2600
bitch,4.7600
bited,0.0000
biter,2.6000
bites,3.7900
bytes,3.2600
bitsy,2.2800
biune,0.0000
bizel,0.0000
bizen,1.4600
bizes,0.0000
bizet,1.9800
black,5.4600
blade,4.1900
blady,1.1400
blahs,1.6500
blayk,0.0000
blain,2.3100
blair,4.0000
blake,4.1600
blame,4.6300
blams,0.0000
blanc,3.4200
bland,3.5000
blank,4.1400
blare,2.3900
blart,2.1200
blase,2.1600
blash,1.2300
blast,4.3200
blate,0.0000
blats,0.0000
blawn,0.0000
blaws,0.0000
blaze,3.6900
blazy,1.0300
bleak,3.4300
blear,0.0000
bleat,2.1200
bleck,1.5700
blend,3.9500
blenk,0.0000
blens,0.0000
blent,1.2800
blest,2.1600
blets,0.0000
blick,2.2300
blier,1.2700
blimy,0.0000
blimp,2.7800
blind,4.5200
bliny,0.0000
blink,3.7300
blype,0.0000
blips,2.3800
blirt,0.0000
blist,0.0000
blite,0.0000
blitz,3.5700
bloat,2.6000
block,4.8800
blocs,2.6800
bloke,3.5500
blond,3.5500
blore,1.9700
blote,0.0000
blots,2.3000
blout,0.0000
blowy,1.6500
blown,4.2100
blows,4.0400
blued,2.1500
bluey,2.2100
bluer,2.2200
blues,4.3400
bluet,1.2200
blume,2.5300
blunk,0.0000
blunt,3.9000
blurs,2.6200
blurt,2.4800
blush,3.5600
board,5.2400
boars,2.7400
boart,1.2500
boast,3.5100
boats,4.2500
bocal,0.0000
boche,1.8500
bocks,1.4800
boden,2.6000
boder,1.1400
bodes,2.5800
bodge,1.6000
bodhi,2.6100
bodle,1.2300
boers,2.6000
bogan,2.5500
bogey,2.9200
boget,0.0000
bogie,2.4600
bogle,2.2900
bogue,2.2100
bogum,0.0000
bogus,3.4300
bohea,0.0000
boyar,1.9100
boyau,0.0000
boyce,3.0800
boyer,2.9500
boyla,0.0000
boily,0.0000
boils,3.2900
boing,2.7400
boise,3.3600
boist,0.0000
boite,1.8300
bolag,0.0000
bolar,1.5700
bolas,2.1100
boldu,0.0000
boled,0.0000
boles,2.4700
bolis,1.2600
bolti,0.0000
bolty,0.0000
bolts,3.6200
bolus,2.6000
bonav,0.0000
bonce,1.5600
bonds,4.2700
boned,2.8800
boney,2.5000
boner,3.2100
bones,4.3200
bongs,2.4800
bonks,1.6900
bonum,1.7700
bonus,4.4500
bonze,1.2800
borak,1.4800
boral,1.7300
boran,1.6500
boras,2.2400
borax,2.4800
bored,4.2000
borel,2.2800
bores,2.8400
borgh,0.0000
boric,2.3100
borid,0.0000
boryl,0.0000
boris,3.8700
borne,3.6700
borty,0.0000
borts,1.0600
bortz,1.5200
bosch,3.3000
bosey,0.0000
boser,1.2200
bosky,1.3800
bosun,1.8900
botan,1.8200
botas,1.5600
botch,2.4000
botel,0.0000
bothy,2.0600
botry,0.0000
bouch,1.2900
boucl,0.0000
bouet,0.0000
bouge,1.3000
bough,2.7300
boule,2.1200
boult,2.2900
bound,4.4600
bourd,0.0000
bourg,2.2600
bourn,2.1600
bouse,1.4600
bousy,0.0000
bouts,3.2100
bovey,1.8600
bovid,1.1900
bovld,0.0000
bowed,3.3300
bowel,3.5500
bower,3.0000
bowet,0.0000
bowge,0.0000
bowie,3.5400
bowla,0.0000
bowle,1.2000
bowly,0.0000
bowls,3.7500
bowne,1.9200
bowse,0.0000
boxed,3.3400
boxen,1.4200
boxer,3.7400
boxes,4.3400
boxty,1.0900
bozal,0.0000
brace,3.7200
brach,2.0500
brack,2.3300
bract,1.8300
brads,1.9900
braes,2.0100
bragi,1.5300
brags,2.6600
brahm,1.9900
braid,3.2400
braye,1.2700
brail,1.4400
brain,4.9400
brays,1.7900
brake,3.9500
braky,0.0000
brame,1.5400
brand,4.8300
brank,1.0500
brans,1.5900
brant,2.9000
brash,2.9500
brast,0.0000
brats,2.9100
brave,4.3300
bravi,1.4700
bravo,3.7700
brawl,3.5300
brawn,2.7600
braws,0.0000
braxy,0.0000
braze,1.8400
bread,4.5000
break,5.1800
bream,2.6900
breck,2.4600
bredi,0.0000
brens,1.1600
brent,3.6900
brest,2.7200
breth,1.0800
breva,0.0000
brevi,1.1700
brews,2.9900
brian,4.4700
bryan,3.9800
bryce,3.5300
brick,4.2500
bride,4.0800
brief,4.5200
bries,0.0000
brigs,1.9500
brike,0.0000
brims,2.1600
brine,3.0700
bring,5.2700
briny,2.2000
brink,3.5100
brins,0.0000
bryon,2.1800
brios,0.0000
brisa,1.5600
brise,1.6000
brisk,3.2000
brist,1.0800
brite,2.4000
brith,1.8200
brits,3.5400
bryum,1.0900
briza,1.0100
broad,4.5300
broch,2.0200
brock,3.7100
brogh,0.0000
broid,0.0000
broil,2.4400
broke,4.8500
broma,1.1200
brome,2.1300
bronc,2.0400
bronk,1.7200
bronx,3.6500
brose,1.7800
brosy,0.0000
broth,3.3900
browd,0.0000
brown,5.0100
brows,3.3400
bruce,4.3400
bruet,0.0000
brugh,1.4100
bruin,2.5200
bruit,1.7400
bruja,1.8200
brujo,1.7800
bruke,0.0000
brule,2.2100
brume,1.5300
brune,2.1200
bruno,3.8100
brunt,3.1200
brush,4.2300
brusk,0.0000
bruta,1.4200
brute,3.4200
btise,0.0000
buaze,0.0000
bucky,3.1200
bucko,2.1700
bucks,4.1900
budge,3.2300
budgy,0.0000
